iterat. internal-T external-T elapsed-time
0 300 280 0.032676114999958372
1 299.93340000000046 280.00000073553855 0.063990446000389056
2 299.86768806437487 280.00000146127354 0.098417099000016606
3 299.80284266858348 280.00000217743832 0.1293071019999843
4 299.73884295557963 280.00000288425548 0.16147935800017876
5 299.67566871191468 280.00000358195803 0.19185826200009615
6 299.61330034464868 280.00000427076276 0.22353863700027432
7 299.55171885926046 280.0000049508796 0.25522000299997671
8 299.49090583844264 280.00000562250858 0.28725434000034511
9 299.43084342173273 280.00000628584792 0.3178635590002159
10 299.37151428590596 280.00000694108581 0.35481617599998572
11 299.31290162620684 280.00000758840997 0.38618035000035889
12 299.25498913828579 280.0000082280061 0.41739504400038641
13 299.19776100083567 280.00000886004221 0.44916328500039526
14 299.1412018589059 280.00000948469182 0.48004755900001328
15 299.08529680787558 280.00001010211309 0.51185663400019621
16 299.03003137803557 280.0000107124738 0.54321664200006126
17 298.97539151974337 280.0000113159262 0.57657583600030193
18 298.92136358920067 280.00001191261299 0.60785480200001984
19 298.86793433470336 280.00001250269185 0.64248296799996751
20 298.81509088345211 280.00001308630669 0.6733586479999758
21 298.76282072887614 280.00001366358396 0.70560491500009448
22 298.71111171836895 280.00001423466671 0.73660653300021295
23 298.65995204158116 280.00001479968046 0.76844524400030423
24 298.60933021904629 280.00001535875333 0.7993608720003067
25 298.55923509130776 280.00001591201237 0.83163297300006889
26 298.50965580839664 280.00001645957457 0.8629824610002288
27 298.46058181974081 280.00001700155718 0.89483205800024734
28 298.41200286440323 280.00001753806885 0.92535471400015012
29 298.36390896171133 280.00001806921978 0.95780593200015574
30 298.31629040220054 280.00001859512929 0.98833614100021805
31 298.26913773890857 280.00001911588816 1.0210904870000377
32 298.22244177896613 280.00001963160429 1.0519271050002317
33 298.17619357550308 280.00002014237754 1.0846987420000005
34 298.13038441984156 280.00002064830443 1.1155128080004033
35 298.08500583396773 280.00002114947142 1.1494059680003375
36 298.04004956326213 280.00002164597379 1.1809190510002736
37 297.9955075695035 280.00002213790202 1.2188547519999702
38 297.95137202412781 280.00002262533985 1.2538829760001136
39 297.90763530167067 280.00002310837397 1.2922598790000848
40 297.86428997351663 280.00002358708707 1.3392660900003648
41 297.82132880181086 280.00002406155392 1.3819001720003143
42 297.77874473360123 280.00002453185954 1.4153476510000473
43 297.73653089519445 280.00002499807556 1.4462138000003506
44 297.69468058667684 280.0000254602769 1.4781463670001358
45 297.65318727665874 280.00002591853325 1.5136443870001131
46 297.61204459718124 280.00002637292107 1.5457498200003101
47 297.5712463387876 280.00002682350464 1.5765934690002723
48 297.53078644579494 280.00002727034638 1.6080285830003049
49 297.49065901167342 280.00002771352189 1.6392096310000852
50 297.45085827465471 280.00002815308483 1.6699745300002178
51 297.41137861340997 280.00002858910091 1.7016171459999896
52 297.37221454293325 280.00002902163538 1.7336794530001498
53 297.33336071053009 280.00002945074476 1.7724724550002975
54 297.29481189195263 280.00002987648213 1.8069065050003701
55 297.25656298766052 280.00003029890684 1.8380415130000074
56 297.21860901920297 280.00003071807913 1.8699247570002626
57 297.1809451257202 280.00003113404449 1.9006056450002689
58 297.14356656056731 280.00003154685851 1.9325515980003729
59 297.10646868804423 280.00003195657212 1.9636759810000513
60 297.0696469802221 280.00003236323579 1.9961522000003242
61 297.03309701388889 280.00003276689944 2.0269790790002844
62 296.99681446758558 280.00003316761007 2.0595875910003087
63 296.96079511874473 280.00003356541174 2.0902015510000638
64 296.92503484090111 280.00003396035692 2.1222991210001965
65 296.88952960103353 280.00003435248288 2.1533326170001601
66 296.85427545694171 280.00003474183427 2.1868419720003658
67 296.81926855472972 280.00003512845421 2.2179199990000598
68 296.78450512638636 280.00003551238763 2.2496967320003023
69 296.74998148741173 280.00003589367117 2.280321109000397
70 296.71569403453447 280.00003627234554 2.3140789560002304
71 296.68163924350893 280.00003664845224 2.345283756000299
72 296.64781366694859 280.00003702202611 2.3777617460000329
73 296.61421393226857 280.00003739310455 2.408302685000308
74 296.58083673966621 280.00003776172537 2.4404199939999671
75 296.54767886016833 280.00003812792761 2.471506146000138
76 296.51473713374151 280.00003849174055 2.5024408389999735
77 296.48200846746829 280.00003885320012 2.5340009030001056
78 296.44948983375241 280.00003921234514 2.5652450780003164
79 296.41717826861907 280.00003956919892 2.5978078610000921
80 296.38507087002995 280.00003992379703 2.6284830720001082
81 296.35316479627375 280.00004027617007 2.6611097610002616
82 296.32145726438716 280.00004062635253 2.692267061000166
83 296.2899455486417 280.00004097437539 2.7247049460002017
84 296.25862697906507 280.00004132026203 2.7563387610002792
85 296.2274989399952 280.00004166404671 2.7875374150003154
86 296.19655886871578 280.00004200575017 2.8185853380000481
87 296.16580425407864 280.00004234541041 2.8495906050002304
88 296.13523263522046 280.00004268304417 2.8808558230002745
89 296.10484160028398 280.00004301868694 2.91170806800028
90 296.07462878517219 280.0000433523652 2.9475819799999954
91 296.04459187236671 280.00004368409748 2.9858343529999729
92 296.01472858976621 280.00004401391055 3.0285888040002646
93 295.98503670955364 280.0000443418329 3.0611071600001196
94 295.95551404709181 280.00004466788431 3.091804508000223
95 295.92615845988149 280.00004499209109 3.1238937450002595
96 295.89696784651159 280.00004531447752 3.1553408920003676
97 295.86794014565498 280.00004563506258 3.1884727960000419
98 295.83907333511218 280.00004595387236 3.2193002490002982
99 295.81036543084321 280.00004627092568 3.2515454250001312
100 295.78181448605494 280.00004658624692 3.2827509550002105
101 295.75341859031505 280.00004689985286 3.3150038910002877
102 295.72517586866422 280.00004721177049 3.3482578279999871
103 295.69708448079939 280.00004752201551 3.379612630000338
