iteration internal-T external-T loop-time(ms) wall-time(ms)
204 286.839 260 9.4776 2300
205 286.802 260 9.43266 2311
206 286.765 260 9.45391 2322
207 286.728 260 9.45057 2333
208 286.691 260 9.48203 2344
209 286.655 260 9.42875 2356
210 286.618 260 9.46255 2367
211 286.582 260 9.45703 2378
212 286.546 260 9.49901 2389
213 286.51 260 9.45203 2400
214 286.474 260 9.49354 2412
215 286.438 260 9.39427 2423
216 286.402 260 9.45766 2434
217 286.367 260 9.46245 2445
218 286.331 260 9.46912 2456
219 286.296 260 9.47177 2467
220 286.261 260 9.45573 2479
221 286.225 260 9.45859 2490
222 286.19 260 9.48057 2501
223 286.155 260 9.42599 2512
224 286.12 260 9.47458 2523
225 286.086 260 9.43807 2534
226 286.051 260 9.45927 2546
227 286.016 260 9.47239 2557
228 285.982 260 9.43464 2568
229 285.948 260 9.42792 2579
230 285.913 260 9.46068 2590
231 285.879 260 9.43859 2602
232 285.845 260 9.43526 2613
233 285.811 260 9.44901 2624
234 285.777 260 9.47318 2635
235 285.744 260 9.43417 2646
236 285.71 260 9.4776 2657
237 285.676 260 9.45068 2669
238 285.643 260 9.49 2680
239 285.609 260 9.47203 2691
240 285.576 260 9.47578 2702
241 285.543 260 9.45443 2713
242 285.51 260 9.47266 2725
243 285.477 260 9.47005 2736
244 285.444 260 9.46734 2747
245 285.411 260 9.47062 2758
246 285.379 260 9.45682 2769
247 285.346 260 9.44417 2780
248 285.313 260 9.49531 2792
249 285.281 260 9.45891 2803
250 285.249 260 9.4449 2814
251 285.216 260 9.46328 2825
252 285.184 260 9.50729 2837
253 285.152 260 9.47625 2848
254 285.12 260 9.45312 2859
255 285.088 260 9.42818 2870
256 285.056 260 9.46333 2881
257 285.025 260 9.43557 2892
258 284.993 260 9.4862 2904
259 284.961 260 9.45281 2915
260 284.93 260 9.48552 2926
261 284.898 260 9.41505 2937
262 284.867 260 9.49354 2948
263 284.836 260 9.46786 2960
264 284.805 260 9.42693 2971
265 284.774 260 9.47286 2982
266 284.743 260 9.50927 2993
267 284.712 260 9.53458 3005
268 284.681 260 9.49146 3016
269 284.65 260 9.46365 3027
270 284.62 260 9.47812 3038
271 284.589 260 9.46661 3049
272 284.558 260 9.4863 3061
273 284.528 260 9.47057 3072
274 284.498 260 9.49292 3083
275 284.467 260 9.44344 3094
276 284.437 260 9.46229 3105
277 284.407 260 9.47766 3117
278 284.377 260 9.47417 3128
279 284.347 260 9.46021 3139
280 284.317 260 9.49312 3150
281 284.287 260 9.43688 3161
282 284.258 260 9.47078 3173
283 284.228 260 9.44292 3184
284 284.198 260 9.49005 3195
285 284.169 260 9.51297 3206
286 284.14 260 9.52969 3218
287 284.11 260 9.50937 3229
288 284.081 260 9.47068 3240
289 284.052 260 9.48219 3251
290 284.023 260 9.52188 3262
291 283.993 260 9.45776 3274
292 283.964 260 9.46323 3285
293 283.936 260 9.51651 3296
294 283.907 260 9.53318 3308
295 283.878 260 9.50474 3319
296 283.849 260 9.50922 3330
297 283.82 260 9.4438 3341
298 283.792 260 9.47771 3352
299 283.763 260 9.56287 3364
300 283.735 260 9.59276 3375
301 283.707 260 9.50417 3387
302 283.678 260 9.5175 3398
303 283.65 260 9.50109 3409
304 283.622 260 9.52724 3420
305 283.594 260 9.52745 3432
306 283.566 260 9.53417 3443
307 283.538 260 9.51026 3454
308 283.51 260 9.45115 3466
309 283.482 260 9.45083 3477
310 283.454 260 9.50167 3488
311 283.427 260 9.505 3499
312 283.399 260 9.52417 3510
313 283.371 260 9.5075 3522
314 283.344 260 9.48307 3533
315 283.316 260 9.45203 3544
316 283.289 260 9.4851 3555
317 283.262 260 9.49037 3566
318 283.234 260 9.50849 3578
319 283.207 260 9.49974 3589
320 283.18 260 9.48927 3600
321 283.153 260 9.49927 3611
322 283.126 260 9.46026 3623
323 283.099 260 9.50214 3634
324 283.072 260 9.43516 3645
325 283.045 260 9.4937 3656
326 283.019 260 9.50078 3668
327 282.992 260 9.50099 3679
328 282.965 260 9.51745 3690
329 282.939 260 9.50036 3701
330 282.912 260 9.49339 3712
331 282.886 260 9.50438 3724
332 282.859 260 9.51656 3735
333 282.833 260 9.51547 3746
334 282.807 260 9.52677 3757
335 282.78 260 9.50036 3769
336 282.754 260 9.51318 3780
337 282.728 260 9.46937 3791
338 282.702 260 9.52464 3802
339 282.676 260 9.45818 3814
340 282.65 260 9.51505 3825
341 282.624 260 9.50865 3836
342 282.598 260 9.51141 3847
343 282.573 260 9.50948 3859
344 282.547 260 9.5038 3870
345 282.521 260 9.48536 3881
346 282.496 260 9.48771 3892
347 282.47 260 9.46698 3903
348 282.444 260 9.51792 3915
349 282.419 260 9.48745 3926
350 282.394 260 9.52542 3937
351 282.368 260 9.47901 3948
352 282.343 260 9.46135 3960
353 282.318 260 9.49281 3971
354 282.293 260 9.51911 3982
355 282.267 260 9.49344 3993
356 282.242 260 9.51307 4005
357 282.217 260 9.48885 4016
358 282.192 260 9.5237 4027
359 282.168 260 9.4999 4038
360 282.143 260 9.51406 4050
361 282.118 260 9.50573 4061
362 282.093 260 9.52448 4072
363 282.068 260 9.46057 4083
364 282.044 260 9.51484 4094
365 282.019 260 9.50302 4106
366 281.995 260 9.49677 4117
367 281.97 260 9.50536 4128
368 281.946 260 9.48854 4139
369 281.921 260 9.50974 4151
370 281.897 260 9.51755 4162
371 281.873 260 9.4938 4173
372 281.848 260 9.52698 4184
373 281.824 260 9.50245 4196
374 281.8 260 9.51693 4207
375 281.776 260 9.48125 4218
376 281.752 260 9.51094 4229
377 281.728 260 9.50521 4241
378 281.704 260 9.52339 4252
379 281.68 260 9.50068 4263
380 281.656 260 9.52224 4274
381 281.632 260 9.50964 4286
382 281.609 260 9.50432 4297
383 281.585 260 9.50948 4308
384 281.561 260 9.52271 4319
385 281.538 260 9.50037 4331
386 281.514 260 9.52432 4342
387 281.491 260 9.46589 4353
388 281.467 260 9.49094 4364
389 281.444 260 9.49427 4376
390 281.42 260 9.51781 4387
391 281.397 260 9.94453 4399
392 281.374 260 10.1578 4411
393 281.35 260 9.77484 4423
394 281.327 260 9.82917 4435
395 281.304 260 10.0819 4448
396 281.281 260 9.94292 4460
397 281.258 260 9.59281 4471
398 281.235 260 9.50589 4483
399 281.212 260 9.49693 4494
400 281.189 260 9.49297 4505
401 281.166 260 9.51479 4516
402 281.143 260 9.50276 4528
403 281.12 260 9.49516 4539
404 281.098 260 9.50344 4550
405 281.075 260 9.50193 4561
406 281.052 260 9.58568 4573
407 281.03 260 9.52708 4584
408 281.007 260 9.53339 4595
409 280.985 260 9.5 4607
410 280.962 260 9.4912 4618
411 280.94 260 9.45755 4629
412 280.917 260 9.48281 4640
413 280.895 260 9.51521 4651
414 280.873 260 9.51724 4663
415 280.85 260 9.48328 4674
416 280.828 260 9.4974 4685
417 280.806 260 9.49016 4696
418 280.784 260 9.4949 4708
419 280.762 260 9.46974 4719
420 280.74 260 9.47771 4730
421 280.718 260 9.47516 4741
422 280.696 260 9.4613 4752
423 280.674 260 9.49719 4764
424 280.652 260 9.54333 4775
425 280.63 260 10.1967 4787
426 280.608 260 9.62484 4799
427 280.586 260 9.51255 4810
428 280.564 260 9.53005 4821
429 280.543 260 9.51333 4832
430 280.521 260 9.51458 4844
431 280.5 260 9.49094 4855
432 280.478 260 9.50573 4866
433 280.456 260 9.51208 4877
434 280.435 260 9.49333 4889
435 280.413 260 9.49708 4900
436 280.392 260 9.48479 4911
437 280.371 260 9.50724 4922
438 280.349 260 9.50286 4934
439 280.328 260 9.50323 4945
440 280.307 260 9.53073 4956
441 280.285 260 9.48953 4967
442 280.264 260 9.52422 4979
443 280.243 260 9.50203 4990
444 280.222 260 9.52479 5001
445 280.201 260 9.49312 5012
446 280.18 260 9.4962 5023
447 280.159 260 9.50281 5035
448 280.138 260 9.51396 5046
449 280.117 260 9.49786 5057
450 280.096 260 9.52505 5068
451 280.075 260 9.49109 5080
452 280.054 260 9.51339 5091
453 280.034 260 9.49682 5102
454 280.013 260 9.51495 5113
455 279.992 260 9.49839 5125
456 279.972 260 9.51208 5136
457 279.951 260 9.49667 5147
458 279.93 260 9.50714 5158
459 279.91 260 9.46417 5169
460 279.889 260 9.51161 5181
461 279.869 260 9.45953 5192
462 279.848 260 9.49224 5203
463 279.828 260 9.45807 5214
464 279.807 260 9.44896 5226
465 279.787 260 9.47057 5237
466 279.767 260 9.49359 5248
467 279.747 260 9.48594 5259
468 279.726 260 9.51292 5270
469 279.706 260 9.48297 5282
470 279.686 260 9.46594 5293
471 279.666 260 9.51719 5304
472 279.646 260 9.49099 5315
473 279.626 260 9.48125 5326
474 279.606 260 9.50062 5338
475 279.586 260 9.49177 5349
476 279.566 260 9.50542 5360
477 279.546 260 9.48281 5371
478 279.526 260 9.4849 5383
479 279.506 260 9.49083 5394
480 279.486 260 9.51885 5405
481 279.466 260 9.49766 5416
482 279.447 260 9.52281 5428
483 279.427 260 9.5024 5439
484 279.407 260 9.47427 5450
485 279.388 260 9.4838 5461
486 279.368 260 9.50854 5472
487 279.348 260 9.48849 5484
488 279.329 260 9.52885 5495
489 279.309 260 9.49536 5506
490 279.29 260 9.49302 5517
491 279.27 260 9.48635 5529
492 279.251 260 9.49255 5540
493 279.231 260 9.48635 5551
494 279.212 260 9.52266 5562
495 279.193 260 9.47219 5573
496 279.173 260 9.49839 5585
497 279.154 260 9.45557 5596
498 279.135 260 9.4762 5607
499 279.116 260 9.49693 5618
500 279.097 260 9.47234 5630
501 279.077 260 9.50844 5641
502 279.058 260 9.46912 5652
503 279.039 260 9.49026 5663
504 279.02 260 9.49588 5674
505 279.001 260 9.49005 5686
506 278.982 260 9.50917 5697
507 278.963 260 9.47849 5708
508 278.944 260 9.48516 5719
509 278.925 260 9.50677 5731
510 278.907 260 9.51958 5742
511 278.888 260 9.49203 5753
512 278.869 260 9.52464 5764
513 278.85 260 9.51547 5776
514 278.832 260 9.46495 5787
515 278.813 260 9.46995 5798
516 278.794 260 9.51287 5809
517 278.775 260 9.48385 5820
518 278.757 260 9.51792 5832
519 278.738 260 9.50776 5843
520 278.72 260 9.51516 5854
521 278.701 260 9.51339 5865
522 278.683 260 9.49599 5877
523 278.664 260 9.49094 5888
524 278.646 260 9.52344 5899
525 278.627 260 9.51266 5910
526 278.609 260 9.51958 5922
527 278.591 260 9.48906 5933
