iterat. internal-T external-T elapsed-time
0 300 263.401 0.0473419
1 299.93 263.401 0.0936907
2 299.865 263.401 0.139568
3 299.807 263.401 0.18708
4 299.739 263.401 0.233488
5 299.68 263.401 0.262366
6 299.613 263.401 0.291512
7 299.549 263.401 0.320346
8 299.492 263.401 0.353134
9 299.431 263.401 0.381987
10 299.371 263.401 0.411391
11 299.311 263.401 0.440227
12 299.256 263.401 0.469446
13 299.199 263.401 0.49852
14 299.14 263.401 0.527388
15 299.087 263.401 0.556218
16 299.033 263.401 0.587403
17 298.98 263.401 0.616265
18 298.921 263.401 0.645174
19 298.87 263.401 0.674031
20 298.817 263.401 0.702949
21 298.767 263.401 0.731823
22 298.714 263.401 0.760707
23 298.657 263.401 0.78956
24 298.607 263.401 0.818444
25 298.559 263.401 0.84731
26 298.507 263.401 0.876165
27 298.457 263.401 0.905044
28 298.413 263.401 0.935472
29 298.364 263.401 0.971237
30 298.315 263.401 1.00854
31 298.272 263.401 1.05727
32 298.225 263.401 1.09526
33 298.175 263.401 1.1419
34 298.132 263.401 1.18833
35 298.085 263.401 1.22228
36 298.038 263.401 1.25146
37 297.999 263.401 1.28045
38 297.954 263.401 1.31226
39 297.907 263.401 1.34178
40 297.866 263.401 1.37085
41 297.822 263.401 1.39978
42 297.78 263.401 1.42864
43 297.737 263.401 1.45808
44 297.695 263.401 1.48709
45 297.655 263.401 1.52307
46 297.613 263.401 1.55917
47 297.57 263.401 1.58809
48 297.53 263.401 1.61697
49 297.492 263.401 1.64587
50 297.452 263.401 1.67474
51 297.413 263.401 1.70397
52 297.371 263.401 1.73293
53 297.332 263.401 1.76183
54 297.295 263.401 1.79073
55 297.258 263.401 1.81972
56 297.219 263.401 1.84858
57 297.18 263.401 1.87743
58 297.143 263.401 1.90634
59 297.106 263.401 1.94701
60 297.071 263.401 1.99303
61 297.033 263.401 2.03842
62 296.998 263.401 2.08504
63 296.963 263.401 2.13434
64 296.927 263.401 2.18067
65 296.892 263.401 2.2269
66 296.854 263.401 2.27119
67 296.822 263.401 2.31754
68 296.786 263.401 2.36694
69 296.752 263.401 2.41324
70 296.716 263.401 2.46325
71 296.681 263.401 2.50339
72 296.647 263.401 2.54936
73 296.615 263.401 2.59567
74 296.579 263.401 2.64165
75 296.549 263.401 2.68891
76 296.517 263.401 2.72945
77 296.482 263.401 2.77547
78 296.452 263.401 2.82152
79 296.418 263.401 2.8628
80 296.386 263.401 2.89221
81 296.353 263.401 2.92111
82 296.326 263.401 2.95006
83 296.292 263.401 2.99042
84 296.259 263.401 3.02697
85 296.23 263.401 3.05585
86 296.196 263.401 3.08479
87 296.166 263.401 3.1308
88 296.135 263.401 3.17648
89 296.104 263.401 3.21384
90 296.075 263.401 3.26068
91 296.044 263.401 3.3054
92 296.015 263.401 3.35457
93 295.985 263.401 3.38804
94 295.955 263.401 3.41926
95 295.928 263.401 3.45597
96 295.896 263.401 3.4865
97 295.868 263.401 3.51562
98 295.84 263.401 3.54466
99 295.809 263.401 3.57537
100 295.783 263.401 3.60679
101 295.756 263.401 3.63818
102 295.726 263.401 3.66957
103 295.697 263.401 3.70349
104 295.671 263.401 3.73461
105 295.642 263.401 3.76356
106 295.613 263.401 3.79266
107 295.588 263.401 3.82155
108 295.563 263.401 3.85048
109 295.531 263.401 3.88187
110 295.508 263.401 3.91093
111 295.48 263.401 3.93984
