iteration internal-T external-T loop-time(ms) calcT-time(ms) wall-time(ms)
0 300 280 72.226615905761719 11.236770629882812 83
1 299.5 280.00000550081506 72.191871643066406 11.224532127380371 167
2 299.07508588588587 280.00001017556309 72.13885498046875 11.28182315826416 251
3 298.70405130498671 280.0000142575484 72.11187744140625 11.289114952087402 334
4 298.37331041564084 280.00001789623735 72.084793090820312 11.289271354675293 418
5 298.07374953136372 280.00002119189543 72.077033996582031 11.364322662353516 501
6 297.79902419162011 280.00002421432214 72.055938720703125 11.319113731384277 585
7 297.54457178871121 280.00002701371346 72.009269714355469 11.274739265441895 668
8 297.30701484600343 280.00002962722715 71.967605590820312 11.26406192779541 752
9 297.08378797489075 280.00003208308652 71.962081909179688 11.13729190826416 835
10 296.87289764805666 280.00003440322388 71.954475402832031 11.168176651000977 919
11 296.6727632144794 280.00003660502909 71.955207824707031 11.886406898498535 1003
12 296.48210897604258 280.00003870253653 71.948440551757812 11.154375076293945 1086
13 296.29988917064935 280.00004070725129 71.93609619140625 11.148332595825195 1169
14 296.12523467004092 280.00004262873568 71.897659301757812 11.142083168029785 1253
15 295.95741432965059 280.00004447503301 71.890731811523438 11.673802375793457 1337
16 295.79580643465493 280.0000462529834 71.894111633300781 11.221563339233398 1420
17 295.63987724089276 280.0000479684586 71.865676879882812 11.184479713439941 1503
18 295.4891645936936 280.0000496265435 71.856979370117188 11.143124580383301 1586
19 295.34326524333426 280.00005123167421 71.843437194824219 11.206719398498535 1670
20 295.20182489423667 280.00005278774864 71.856201171875 11.189791679382324 1753
21 295.0645303054003 280.000054298213 71.840103149414062 11.43260383605957 1836
22 294.93110295070977 280.00005576613148 71.869583129882812 11.312604904174805 1920
23 294.80129388019952 280.00005719424286 71.847816467285156 11.279895782470703 2003
24 294.67487951653277 280.00005858500691 71.848800659179688 11.124271392822266 2086
25 294.55165818745678 280.00005994064242 71.848434448242188 11.261094093322754 2169
26 294.43144724310014 280.00006126315867 71.84979248046875 11.140936851501465 2253
27 294.31408064221881 280.00006255438268 71.84906005859375 11.088281631469727 2336
28 294.19940691762088 280.00006381598052 71.815101623535156 11.141875267028809 2419
29 294.08728745057226 280.00006504947737 72.194221496582031 11.226093292236328 2503
30 293.9775949988146 280.00006625627316 72.248649597167969 11.307656288146973 2586
31 293.87021243415734 280.00006743765658 72.260055541992188 11.337239265441895 2670
32 293.76503165435059 280.00006859481664 72.255416870117188 11.31135368347168 2754
33 293.66195264075134 280.00006972885376 72.253074645996094 11.299427032470703 2838
34 293.56088263863074 280.00007084078851 72.245002746582031 11.32770824432373 2921
35 293.46173544118608 280.00007193156932 72.2847900390625 11.226771354675293 3005
36 293.36443076168183 280.0000730020796 72.273956298828125 11.335624694824219 3089
37 293.26889368082783 280.00007405314301 72.262916564941406 11.318490028381348 3173
38 293.17505415867276 280.00007508553074 72.246978759765625 11.317604064941406 3256
39 293.08284660205243 280.00007609996442 72.230941772460938 11.310990333557129 3340
40 292.99220948005933 280.00007709712048 72.217033386230469 11.30546760559082 3424
41 292.9030849811827 280.00007807763535 72.235206604003906 11.283905982971191 3507
42 292.81541870673504 280.00007904210725 72.233024597167969 11.19807243347168 3591
43 292.72915939598147 280.00007999110016 72.229690551757812 11.32536506652832 3675
44 292.64425867905959 280.00008092514662 72.20953369140625 11.21604061126709 3758
45 292.56067085433489 280.00008184474888 72.229110717773438 11.29140567779541 3842
46 292.47835268730165 280.00008275038289 72.226669311523438 11.324530601501465 3926
47 292.39726322853846 280.00008364249936 72.236305236816406 11.320521354675293 4010
48 292.31736364855897 280.0000845215248 72.219741821289062 11.32869815826416 4093
49 292.23861708768015 280.00008538786534 72.229377746582031 11.309843063354492 4177
50 292.16098851927484 280.00008624190605 72.25213623046875 11.311667442321777 4261
51 292.084444624978 280.00008708401378 72.266563415527344 11.286510467529297 4345
52 292.00895368059707 280.00008791453718 72.263801574707031 11.331509590148926 4428
53 291.93448545162346 280.00008873380915 72.243278503417969 11.191198348999023 4512
54 291.86101109737797 280.00008954214678 72.226249694824219 11.331823348999023 4596
55 291.78850308293499 280.00009033985327 72.229011535644531 11.286562919616699 4679
56 291.71693509806607 280.00009112721784 72.243904113769531 11.167656898498535 4763
57 291.64628198253371 280.00009190451715 72.237083435058594 11.247500419616699 4847
58 291.57651965713677 280.00009267201654 72.22265625 11.335415840148926 4930
