iteration internal-T external-T loop-time(ms) calcT-time(ms) wall-time(ms)
0 300 280 18.358282089233398 2.990156888961792 21
1 299.93340000000001 280.00000073553997 18.358905792236328 2.9605729579925537 43
2 299.86768806438005 280.00000146127201 18.334583282470703 2.9625520706176758 64
3 299.80284266857933 280.00000217743383 18.301040649414062 2.998384952545166 86
4 299.7388429555798 280.00000288425588 18.300207138061523 2.9774999618530273 108
5 299.67566871191497 280.00000358196132 18.29609489440918 2.972343921661377 129
6 299.61330034464555 280.00000427076645 18.312292098999023 2.9682290554046631 151
7 299.55171885925802 280.00000495088125 18.279842376708984 2.9545838832855225 172
8 299.49090583844566 280.00000562250898 18.275936126708984 2.9798429012298584 194
9 299.43084342173245 280.00000628584689 18.274948120117188 2.9746870994567871 215
10 299.37151428590334 280.00000694108638 18.276874542236328 3.0918750762939453 237
11 299.31290162620553 280.00000758841304 18.287864685058594 2.9633340835571289 259
12 299.25498913828585 280.00000822800678 18.272605895996094 2.9760410785675049 280
13 299.1977610008351 280.00000886004261 18.277395248413086 2.9736459255218506 302
14 299.14120185890579 280.00000948468988 18.259063720703125 2.9498960971832275 323
15 299.08529680787638 280.00001010211321 18.259532928466797 2.9719789028167725 345
16 299.03003137803313 280.0000107124726 18.27067756652832 2.9757289886474609 366
17 298.97539151974451 280.00001131592308 18.269790649414062 3.0014579296112061 388
18 298.92136358920169 280.00001191261526 18.260103225708008 2.983489990234375 409
19 298.86793433470206 280.0000125026956 18.261875152587891 2.9605720043182373 431
20 298.81509088345268 280.00001308630624 18.275884628295898 2.9629690647125244 452
21 298.76282072887227 280.00001366358532 18.261615753173828 2.9461979866027832 474
22 298.71111171836975 280.00001423466705 18.268592834472656 2.9807291030883789 495
23 298.65995204158185 280.00001479968188 18.264062881469727 2.9513540267944336 517
24 298.60933021904816 280.00001535875651 18.265207290649414 2.913801908493042 538
25 298.55923509130724 280.00001591201431 18.26072883605957 3.00307297706604 560
26 298.50965580839687 280.00001645957508 18.265573501586914 2.9536979198455811 581
27 298.46058181974007 280.00001700155514 18.277238845825195 2.9602599143981934 603
28 298.41200286440346 280.00001753806816 18.26838493347168 2.9401040077209473 624
29 298.3639089617111 280.00001806922404 18.265781402587891 2.9675519466400146 646
30 298.31629040220071 280.00001859513031 18.262186050415039 2.9340100288391113 667
31 298.26913773890772 280.00001911589112 18.262031555175781 2.9938540458679199 689
32 298.22244177896437 280.00001963160793 18.260156631469727 2.956718921661377 710
33 298.1761935755016 280.00002014237975 18.258750915527344 2.9861979484558105 732
34 298.13038441984094 280.00002064830267 18.280155181884766 2.9736459255218506 753
35 298.08500583396579 280.00002114947029 18.26093864440918 2.9520308971405029 775
36 298.04004956326048 280.00002164597379 18.263385772705078 2.9957289695739746 796
37 297.99550756950663 280.00002213790196 18.270313262939453 2.9840619564056396 818
38 297.95137202412781 280.00002262534122 18.262187957763672 2.9731769561767578 839
39 297.90763530167089 280.00002310837584 18.27557373046875 2.9657289981842041 861
40 297.8642899735168 280.00002358708787 18.260520935058594 2.9326040744781494 882
41 297.82132880181047 280.00002406155721 18.266250610351562 2.9480199813842773 904
42 297.77874473360259 280.00002453186175 18.265468597412109 2.9654169082641602 925
43 297.73653089519405 280.00002499807744 18.261978149414062 2.9846351146697998 947
44 297.69468058667627 280.00002546027832 18.267396926879883 2.9494791030883789 968
45 297.65318727665942 280.00002591853638 18.266094207763672 2.9700520038604736 990
46 297.61204459718101 280.00002637292204 18.271249771118164 2.9647910594940186 1011
47 297.57124633878914 280.00002682350379 18.257030487060547 2.9416670799255371 1033
48 297.53078644579301 280.00002727034871 18.268905639648438 2.9546349048614502 1054
49 297.49065901167421 280.00002771352183 18.262500762939453 2.9642179012298584 1076
50 297.45085827465408 280.00002815308682 18.254791259765625 2.9583859443664551 1097
51 297.41137861340934 280.00002858910585 18.254165649414062 2.9429690837860107 1119
52 297.37221454293217 280.00002902163959 18.255468368530273 2.9500529766082764 1140
53 297.33336071052901 280.00002945074681 18.262031555175781 2.9818229675292969 1162
54 297.29481189195212 280.00002987648554 18.261510848999023 2.9682810306549072 1183
55 297.25656298766012 280.00003029891189 18.249635696411133 2.9718749523162842 1205
56 297.21860901920172 280.00003071808095 18.254894256591797 2.9675519466400146 1226
57 297.1809451257198 280.00003113404637 18.248332977294922 2.9355199337005615 1247
58 297.14356656056913 280.00003154686067 18.254791259765625 2.9673440456390381 1269
59 297.10646868804565 280.00003195657484 18.253437042236328 2.9582290649414062 1290
60 297.06964698022227 280.00003236323909 18.260417938232422 2.9726040363311768 1312
61 297.03309701388775 280.00003276690217 18.253021240234375 2.98921799659729 1333
62 296.99681446758439 280.00003316761178 18.249843597412109 2.9443221092224121 1355
63 296.9607951187416 280.00003356541464 18.242708206176758 2.9650518894195557 1376
64 296.92503484090179 280.00003396035629 18.243280410766602 2.96875 1398
65 296.88952960103546 280.00003435248124 18.246406555175781 2.9854679107666016 1419
66 296.8542754569412 280.00003474183302 18.253385543823242 2.9479169845581055 1441
67 296.81926855472966 280.00003512845433 18.261198043823242 2.942188024520874 1462
68 296.78450512638608 280.00003551238666 18.242136001586914 2.9938030242919922 1484
69 296.74998148741167 280.00003589367066 18.244218826293945 2.9604690074920654 1505
70 296.71569403453708 280.00003627234616 18.240728378295898 2.9744789600372314 1527
71 296.68163924350972 280.00003664845218 18.244426727294922 2.9742701053619385 1548
72 296.64781366694899 280.00003702202673 18.242448806762695 2.9625000953674316 1570
73 296.61421393226914 280.00003739310699 18.239896774291992 2.9790630340576172 1591
74 296.58083673966604 280.00003776172952 18.253801345825195 2.9697909355163574 1613
75 296.54767886016742 280.00003812792988 18.240886688232422 2.9588019847869873 1634
76 296.51473713374168 280.00003849174306 18.246145248413086 2.9591140747070312 1656
77 296.48200846746613 280.00003885320308 18.243801116943359 2.9676039218902588 1677
78 296.44948983375127 280.00003921234355 18.245834350585938 2.962083101272583 1699
79 296.41717826861827 280.0000395691971 18.24901008605957 2.9673960208892822 1720
80 296.38507087003057 280.00003992379584 18.246040344238281 2.9859371185302734 1742
81 296.35316479627414 280.00004027617109 18.254426956176758 2.9588019847869873 1763
82 296.32145726438864 280.00004062635367 18.235624313354492 2.9194269180297852 1785
83 296.28994554864408 280.00004097437358 18.237552642822266 2.9604170322418213 1806
84 296.25862697906456 280.00004132026027 18.23729133605957 2.962083101272583 1827
85 296.22749893999548 280.0000416640429 18.241926193237305 2.97182297706604 1849
86 296.19655886871345 280.00004200574944 18.247552871704102 2.9603118896484375 1870
87 296.16580425407801 280.00004234540779 18.242759704589844 2.9772400856018066 1892
88 296.13523263522256 280.00004268304514 18.257135391235352 2.9940619468688965 1913
89 296.10484160028437 280.00004301868807 18.246145248413086 2.9840629100799561 1935
90 296.07462878517191 280.00004335236281 18.243021011352539 3.008073091506958 1956
91 296.04459187236796 280.00004368409469 18.257551193237305 2.9752600193023682 1978
92 296.0147285897682 280.00004401390913 18.255571365356445 2.9706249237060547 1999
93 295.98503670955284 280.00004434183046 18.257448196411133 2.9393749237060547 2021
94 295.95551404709204 280.000044667883 18.237760543823242 2.9682810306549072 2042
95 295.92615845988144 280.00004499209035 18.252187728881836 2.9822919368743896 2064
96 295.89696784651011 280.0000453144757 18.239114761352539 2.9688539505004883 2085
97 295.86794014565646 280.00004563506172 18.238229751586914 2.9769270420074463 2107
98 295.83907333511377 280.00004595387094 18.246458053588867 2.9470829963684082 2128
99 295.81036543084366 280.00004627092511 18.246509552001953 2.9324479103088379 2150
100 295.78181448605551 280.0000465862459 18.267707824707031 2.955625057220459 2171
101 295.75341859031295 280.00004689985423 18.254583358764648 2.9589579105377197 2193
102 295.72517586866451 280.00004721177083 18.258438110351562 2.9508860111236572 2214
103 295.69708448079967 280.00004752201619 18.238801956176758 2.9703130722045898 2236
104 295.669142620228 280.00004783061007 18.25843620300293 2.9363539218902588 2257
105 295.64134851348098 280.00004813757226 18.247343063354492 2.9769790172576904 2279
106 295.61370041933679 280.0000484429217 18.25291633605957 2.9445838928222656 2300
107 295.58619662806558 280.00004874667758 18.258281707763672 2.945573091506958 2322
108 295.55883546069634 280.00004904885822 18.246719360351562 2.9740109443664551 2343
109 295.53161526830377 280.00004934948197 18.248073577880859 2.9572920799255371 2365
110 295.50453443131391 280.00004964856657 18.247188568115234 2.9500000476837158 2386
111 295.47759135883041 280.00004994612976 18.249427795410156 2.9504170417785645 2408
112 295.45078448797705 280.00005024218865 18.251510620117188 2.9790101051330566 2429
113 295.42411228325989 280.00005053676028 18.240676879882812 2.9663019180297852 2451
114 295.39757323594569 280.00005082986138 18.249843597412109 2.9757809638977051 2472
115 295.37116586345684 280.00005112150819 18.238384246826172 2.9587500095367432 2494
116 295.3448887087838 280.00005141171681 18.235937118530273 2.9616150856018066 2515
117 295.31874033991147 280.00005170050309 18.241874694824219 2.9607810974121094 2537
118 295.29271934926243 280.00005198788273 18.238178253173828 2.9814579486846924 2558
119 295.26682435315377 280.00005227387078 18.237552642822266 2.9755210876464844 2580
120 295.24105399126921 280.00005255848237 18.235469818115234 2.9365100860595703 2601
121 295.21540692614434 280.00005284173221 18.254219055175781 2.9735419750213623 2622
122 295.18988184266595 280.00005312363493 18.237707138061523 2.9605729579925537 2644
123 295.16447744758426 280.00005340420466 18.239583969116211 2.9721879959106445 2665
124 295.1391924690376 280.00005368345563 18.236770629882812 2.9445309638977051 2687
125 295.11402565608984 280.00005396140153 18.235000610351562 2.980781078338623 2708
126 295.08897577827958 280.0000542380559 18.24104118347168 2.9598948955535889 2730
127 295.06404162518106 280.0000545134323 18.233905792236328 2.9756779670715332 2751
128 295.039222005976 280.00005478754377 18.252134323120117 2.9652600288391113 2773
129 295.01451574903729 280.00005506040316 18.240833282470703 2.948854923248291 2794
130 294.98992170152189 280.00005533202341 18.236667633056641 2.974323034286499 2816
131 294.96543872897553 280.00005560241686 18.246458053588867 2.9668231010437012 2837
132 294.94106571494655 280.00005587159586 18.243749618530273 2.9837501049041748 2859
133 294.91680156060943 280.00005613957268 18.242031097412109 2.9841148853302002 2880
134 294.89264518439848 280.00005640635919 18.244218826293945 2.9042189121246338 2902
135 294.86859552164992 280.00005667196712 18.253385543823242 2.9386460781097412 2923
136 294.84465152425355 280.00005693640804 18.236978530883789 2.9505209922790527 2945
137 294.82081216031241 280.0000571996934 18.242551803588867 3.0171880722045898 2966
138 294.79707641381162 280.00005746183439 18.232812881469727 2.9137499332427979 2987
139 294.77344328429467 280.00005772284209 18.238489151000977 2.9783859252929688 3009
140 294.74991178654813 280.0000579827273 18.248281478881836 2.9535419940948486 3030
141 294.72648095029393 280.00005824150082 18.240781784057617 2.9525001049041748 3052
142 294.70314981988957 280.00005849917318 18.246822357177734 2.9119789600372314 3073
143 294.6799174540343 280.00005875575471 18.232969284057617 2.9683330059051514 3095
144 294.65678292548432 280.00005901125576 18.235260009765625 3.0342710018157959 3116
145 294.63374532077341 280.00005926568639 18.245677947998047 2.9601039886474609 3138
146 294.61080373994093 280.00005951905655 18.240468978881836 2.9479689598083496 3159
147 294.58795729626587 280.0000597713759 18.244062423706055 2.9408340454101562 3181
148 294.56520511600797 280.00006002265428 18.236667633056641 2.9582290649414062 3202
149 294.54254633815447 280.00006027290107 18.248489379882812 2.9334900379180908 3224
150 294.51998011417243 280.00006052212575 18.238229751586914 2.971613883972168 3245
151 294.49750560776846 280.00006077033737 18.245416641235352 2.9634370803833008 3267
152 294.47512199465228 280.00006101754519 18.257448196411133 2.9168229103088379 3288
153 294.45282846230674 280.00006126375814 18.24005126953125 3.0056250095367432 3310
154 294.43062420976349 280.00006150898508 18.289583206176758 3.0779159069061279 3331
