iteration internal-T external-T loop-time(ms) calcT-time(ms) wall-time(ms)
0 300 280 18.375833511352539 2.9744789600372314 21
1 299.19999999999999 280.00000883531476 18.363332748413086 2.9644789695739746 43
2 298.52813741741738 280.0000162554615 18.341875076293945 2.9682290554046631 64
3 297.94710600452674 280.00002267245571 18.317083358764648 2.9715631008148193 86
4 297.43349718286197 280.00002834482524 18.312761306762695 2.9703130722045898 107
5 296.97180041472416 280.00003344387056 18.303386688232422 2.963386058807373 128
6 296.55130638030687 280.00003808786704 18.298749923706055 2.9429690837860107 150
7 296.16435677203572 280.00004236139398 18.276405334472656 2.9351561069488525 171
8 295.80530500684142 280.00004632681322 18.273645401000977 2.9573431015014648 193
9 295.46987441645172 280.00005003135669 18.261978149414062 2.9321870803833008 214
10 295.15474864618375 280.00005351165095 18.258281707763672 2.9392709732055664 235
11 294.85730236363128 280.00005679669039 18.267448425292969 2.9623959064483643 257
12 294.57541936238107 280.00005990984664 18.261407852172852 2.9688539505004883 278
13 294.30736659798424 280.0000628702598 18.265417098999023 2.9480729103088379 299
14 294.05170493986634 280.00006569382384 18.252603530883789 2.9639589786529541 321
15 293.80722459684324 280.00006839389982 18.255521774291992 2.9593229293823242 342
16 293.57289749130234 280.00007098184204 18.247447967529297 2.9741671085357666 363
17 293.34784151461503 280.0000734673925 18.240261077880859 2.9850530624389648 385
18 293.1312932699164 280.00007585898231 18.248437881469727 2.9633340835571289 406
19 292.92258698416197 280.00007816396453 18.248592376708984 2.9643220901489258 428
20 292.72113797695755 280.00008038879622 18.250572204589844 2.9415109157562256 449
21 292.52642954511953 280.00008253918406 18.248281478881836 2.942863941192627 470
22 292.33800244261971 280.00008462020008 18.247760772705078 2.9589579105377197 492
23 292.15544635734591 280.00008663637567 18.246978759765625 2.9697909355163574 513
24 291.97839294191681 280.00008859177899 18.245990753173828 2.993541955947876 534
25 291.80651006684599 280.00009049007815 18.248750686645508 2.9572920799255371 556
26 291.63949704460504 280.00009233459394 18.236875534057617 2.959583044052124 577
27 291.47708063188128 280.00009412834402 18.246614456176758 2.9165630340576172 598
28 291.31901166082787 280.00009587408044 18.242290496826172 2.9391140937805176 620
29 291.16506218269768 280.00009757432053 18.245677947998047 2.9643230438232422 641
30 291.01502303191194 280.00009923137452 18.240676879882812 2.963386058807373 663
31 290.86870173745945 280.00010084736783 18.241666793823242 2.9277079105377197 684
32 290.72592072306355 280.0001024242618 18.241926193237305 2.9706768989562988 705
33 290.58651574885124 280.00010396387034 18.24005126953125 2.9605729579925537 727
34 290.45033455612861 280.00010546787496 18.24708366394043 2.9823439121246338 748
35 290.31723568386673 280.00010693783804 18.236146926879883 2.9286460876464844 769
36 290.18708743107362 280.00010837521393 18.236459732055664 2.9902598857879639 791
37 290.05976694368979 280.0001097813597 18.239114761352539 2.9538021087646484 812
